Date,Company,return1,10dayrollingstddev,return30,ratio_pe,ratio_pcf,ratio_de,ratio_roe,ratio_roa,industry,retlag1,retlag2,retlag3,retlag4,retlag5,retlag6,retlag7,retlag8,retlag9,retlag10,pcflag1,pcflag2
2021/07/01,AAPL,0.019596416,0.010764141,0.104522047,41.47129909,-1.32E-08,-3.635451622,0.5780986,0.461252635,Information Technology,-0.017367565,-0.009714432,-0.017502917,-0.00055905,-0.001303144,0.008253055,-0.005965697,-0.001977497,0.016968632,-0.009689214,4.22E-07,-0.000000138
2021/07/01,ABBV,0.007964292,0.008052617,0.018269316,41.85347985,-3.63E-09,-2.698903892,-0.394966118,0.470069913,Health Care,0.00599134,-0.002320051,-0.01612127,-0.00018492,0.006223378,-0.00483901,-0.004251969,0,0.014220967,0.000214087,3.26E-08,1.90E-10
2021/07/01,ABT,0.007511096,0.018719949,0.107477077,46.49206349,4.03E-08,6.375644995,1.593055815,0.262071327,Health Care,-0.03125,-0.003958654,-0.005928944,-0.020580442,-0.007794232,0.014829179,0.009845328,-0.000711446,0.010972661,-0.042389571,6.09E-08,2.29E-07
2021/07/01,ACN,0.016133333,0.008787871,0.068071774,37.35990037,1.31E-07,16.5769364,0.781001541,0.366970904,Information Technology,-0.00660066,-0.000838223,-0.00230787,0.012399831,0.00530504,0.008586663,-0.003325765,0.008892617,0.0223743,0.000353944,7.51E-07,3.12E-08
2021/07/01,ADBE,0.014262993,0.011242181,0.17910508,53.4488117,3.20E-07,2.252188184,0.621666273,0.52013258,Information Technology,0.012923077,0.005966514,-0.00302267,-0.005671748,0.001493373,0.015444015,-0.003851687,-0.001342773,0.018851521,-0.018214469,1.06E-06,-0.000000216
2021/07/01,ADI,0.00886682,0.014825599,0.033477916,27.2061426,4.15E-07,93.0856452,0.769368674,0.595087239,Information Technology,0.000703339,0.016118086,-0.025590826,-0.028054151,-0.001796817,0.007951988,-0.011956819,-0.001462474,0.008729133,-0.015813433,9.53E-07,6.18E-10
2021/07/01,ADP,0.00835794,0.009106321,0.015759239,32.7557377,3.28E-08,6.22962718,0.810744586,0.080136371,Industrials,-0.002092902,0.008314991,-0.005409904,0.005145624,-0.002954928,0.006484264,-0.010918203,-0.000615265,0.010702055,-0.018488746,2.88E-08,2.01E-07
2021/07/01,AMAT,0.001522291,0.008138749,-0.001881195,34.92405063,5.90E-08,2.331193838,2.041237113,0.326501608,Information Technology,0.00298079,0.001648484,-0.003460208,0.011163021,0.002360479,0.021326686,0.002156797,0.003679176,0.009728071,-0.008027968,-0.000000415,8.37E-07
2021/07/01,AMD,0.014896581,0.016743638,0.154683826,44.43333333,7.46E-07,2.64,2.721694668,0.222855282,Information Technology,-0.015100671,-0.01087208,-0.013956007,-0.001884659,0.007140405,0.000545449,0.003858307,0.007005861,0.015431931,-0.043453532,1.86E-08,5.01E-08
2021/07/01,AMGN,0.007290401,0.014611545,0.05702543,19.91129032,1.08E-06,144.0436681,1.038516249,0.432226636,Health Care,0.01034921,-0.018292067,0.007843137,-0.030848089,0.000760456,0.014115345,-0.006050605,-0.005523869,0.01428447,-0.005634343,1.94E-08,9.08E-09
2021/07/01,AMT,0.009395924,0.018078986,0.045480914,70.95275591,9.54E-07,133.8600483,-0.034746321,7.427774268,Real Estate,0.000709634,0.015355913,-0.009061923,-0.000285722,0.010419768,0.005739575,0.006058185,-0.0000523,0.018745435,-0.045758929,-0.000000138,-2.91E-08
